ckyc_no,customer_id,product,partner,status,match_flag,remarks
CKYC000073,CUST000073,BranchLed,Partner-Alpha,Under Review,,
CKYC000074,CUST000074,BranchLed,Partner-Delta,Completed,Y,
CKYC000075,CUST000075,Embedded Finance,Partner-Delta,Completed,Y,
CKYC000076,CUST000076,Fintech Partnership,In-House,,,
CKYC000077,CUST000077,BranchLed,Partner-Epsilon,Issue,N,
CKYC000078,CUST000078,Embedded Finance,Partner-Epsilon,Completed,Y,
CKYC000080,CUST000080,BranchLed,In-House,,,Reported manually by Ops team
CKYC000081,CUST000081,WSL,Partner-Epsilon,Under Review,,
CKYC000082,CUST000082,Embedded Finance,Partner-Beta,,,
CKYC000083,CUST000083,BranchLed,Partner-Beta,Completed,Y,
CKYC000085,CUST000085,Fintech Partnership,Partner-Epsilon,Completed,Y,
CKYC000086,CUST000086,BranchLed,Partner-Delta,In Progress,,
CKYC000088,CUST000088,BranchLed,Partner-Gamma,,,
CKYC000090,CUST000090,Embedded Finance,Partner-Epsilon,In Progress,,
CKYC000093,CUST000093,WSL,Partner-Beta,Completed,Y,
CKYC000094,CUST000094,Embedded Finance,In-House,In Progress,,
CKYC000095,CUST000095,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000097,CUST000097,WSL,Partner-Epsilon,Under Review,,
CKYC000098,CUST000098,Partner Reporting,Partner-Beta,Completed,Y,
CKYC000099,CUST000099,WSL,In-House,,,Reported manually by Ops team
CKYC000100,CUST000100,Embedded Finance,In-House,Completed,Y,
CKYC000101,CUST000101,BranchLed,Partner-Delta,Completed,Y,
CKYC000103,CUST000103,WSL,Partner-Delta,Completed,Y,
CKYC000104,CUST000104,Fintech Partnership,Partner-Beta,,,
CKYC000107,CUST000107,WSL,Partner-Epsilon,,,
CKYC000108,CUST000108,Embedded Finance,Partner-Epsilon,,,
CKYC000109,CUST000109,Embedded Finance,Partner-Alpha,,,
CKYC000110,CUST000110,Fintech Partnership,In-House,Issue,N,
CKYC000112,CUST000112,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000113,CUST000113,BranchLed,Partner-Alpha,,,
CKYC000115,CUST000115,BranchLed,In-House,,,Reported manually by Ops team
CKYC000116,CUST000116,Partner Reporting,Partner-Beta,Under Review,,
CKYC000118,CUST000118,WSL,Partner-Epsilon,Completed,Y,
CKYC000120,CUST000120,Partner Reporting,Partner-Delta,,,
CKYC000121,CUST000121,Embedded Finance,Partner-Alpha,Completed,Y,
CKYC000122,CUST000122,Fintech Partnership,In-House,Under Review,,
CKYC000124,CUST000124,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000125,CUST000125,Partner Reporting,In-House,Completed,Y,
CKYC000126,CUST000126,Fintech Partnership,In-House,Completed,Y,
CKYC000127,CUST000127,Fintech Partnership,Partner-Alpha,,,
CKYC000129,CUST000129,BranchLed,Partner-Alpha,In Progress,,
CKYC000130,CUST000130,Embedded Finance,Partner-Beta,Completed,Y,
CKYC000132,CUST000132,Partner Reporting,Partner-Beta,Completed,Y,
CKYC000135,CUST000135,Embedded Finance,Partner-Alpha,Completed,Y,
CKYC000136,CUST000136,Partner Reporting,Partner-Epsilon,,,Reported manually by Ops team
CKYC000137,CUST000137,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000139,CUST000139,Fintech Partnership,Partner-Beta,Completed,Y,
CKYC000140,CUST000140,Embedded Finance,Partner-Delta,Under Review,,
CKYC000143,CUST000143,Fintech Partnership,Partner-Beta,In Progress,,
CKYC000144,CUST000144,Partner Reporting,Partner-Alpha,Completed,Y,
CKYC000145,CUST000145,Partner Reporting,Partner-Gamma,In Progress,,
CKYC000147,CUST000147,Partner Reporting,In-House,Completed,Y,
CKYC000149,CUST000149,Partner Reporting,Partner-Beta,Completed,Y,
CKYC000153,CUST000153,WSL,Partner-Alpha,Completed,Y,
CKYC000154,CUST000154,BranchLed,Partner-Alpha,Issue,N,
CKYC000155,CUST000155,Fintech Partnership,Partner-Epsilon,,,
CKYC000156,CUST000156,Partner Reporting,Partner-Epsilon,In Progress,,
CKYC000157,CUST000157,WSL,Partner-Beta,In Progress,,
CKYC000158,CUST000158,Fintech Partnership,Partner-Epsilon,Issue,N,
CKYC000161,CUST000161,Fintech Partnership,In-House,Completed,Y,
CKYC000162,CUST000162,Embedded Finance,Partner-Delta,Completed,Y,
CKYC000163,CUST000163,Fintech Partnership,Partner-Epsilon,,,Reported manually by Ops team
CKYC000164,CUST000164,Embedded Finance,Partner-Epsilon,Completed,Y,
CKYC000165,CUST000165,WSL,Partner-Alpha,Completed,Y,
CKYC000167,CUST000167,Partner Reporting,In-House,Issue,N,
CKYC000168,CUST000168,WSL,Partner-Epsilon,Under Review,,
CKYC000170,CUST000170,BranchLed,Partner-Beta,Completed,Y,
CKYC000174,CUST000174,BranchLed,Partner-Delta,Under Review,,
CKYC000175,CUST000175,BranchLed,Partner-Alpha,In Progress,,
CKYC000176,CUST000176,Fintech Partnership,Partner-Delta,,,
CKYC000178,CUST000178,Fintech Partnership,Partner-Alpha,,,
CKYC000179,CUST000179,WSL,Partner-Beta,Under Review,,
CKYC000181,CUST000181,Embedded Finance,Partner-Gamma,Under Review,,
CKYC000182,CUST000182,Fintech Partnership,Partner-Beta,Completed,Y,
CKYC000183,CUST000183,BranchLed,Partner-Gamma,,,
CKYC000185,CUST000185,WSL,In-House,Completed,Y,
CKYC000186,CUST000186,BranchLed,Partner-Epsilon,Issue,N,
CKYC000187,CUST000187,WSL,Partner-Alpha,Completed,Y,
CKYC000188,CUST000188,WSL,Partner-Gamma,In Progress,,
CKYC000190,CUST000190,BranchLed,Partner-Alpha,Completed,Y,
CKYC000191,CUST000191,Fintech Partnership,In-House,Completed,Y,
CKYC000192,CUST000192,WSL,Partner-Beta,Completed,Y,
CKYC000193,CUST000193,BranchLed,Partner-Gamma,Completed,Y,
CKYC000194,CUST000194,WSL,Partner-Beta,,,Reported manually by Ops team
CKYC000196,CUST000196,BranchLed,Partner-Epsilon,,,
CKYC000197,CUST000197,Partner Reporting,Partner-Gamma,Completed,Y,
CKYC000198,CUST000198,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000199,CUST000199,Partner Reporting,Partner-Gamma,In Progress,,
CKYC000201,CUST000201,BranchLed,Partner-Beta,Completed,Y,
CKYC000202,CUST000202,BranchLed,Partner-Beta,In Progress,,
CKYC000204,CUST000204,Partner Reporting,Partner-Epsilon,Completed,Y,
CKYC000205,CUST000205,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000209,CUST000209,WSL,Partner-Epsilon,Completed,Y,
CKYC000211,CUST000211,Embedded Finance,Partner-Alpha,Under Review,,
CKYC000214,CUST000214,Embedded Finance,In-House,,,
CKYC000215,CUST000215,Embedded Finance,In-House,Completed,Y,
CKYC000216,CUST000216,Fintech Partnership,Partner-Gamma,Completed,Y,
CKYC000217,CUST000217,WSL,Partner-Delta,Under Review,,
CKYC000218,CUST000218,WSL,In-House,Completed,Y,
CKYC000219,CUST000219,Embedded Finance,Partner-Beta,Completed,Y,
CKYC000222,CUST000222,Embedded Finance,In-House,Completed,Y,
CKYC000223,CUST000223,BranchLed,Partner-Delta,In Progress,,
CKYC000226,CUST000226,Fintech Partnership,Partner-Delta,Completed,Y,
CKYC000227,CUST000227,Fintech Partnership,Partner-Delta,In Progress,,
CKYC000228,CUST000228,Embedded Finance,Partner-Beta,Under Review,,
CKYC000229,CUST000229,Partner Reporting,Partner-Gamma,Completed,Y,
CKYC000230,CUST000230,BranchLed,Partner-Beta,Completed,Y,
CKYC000231,CUST000231,Embedded Finance,Partner-Alpha,In Progress,,
CKYC000232,CUST000232,Embedded Finance,Partner-Delta,Completed,Y,
CKYC000234,CUST000234,Fintech Partnership,Partner-Gamma,Completed,Y,
CKYC000235,CUST000235,BranchLed,In-House,In Progress,,
CKYC000238,CUST000238,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000239,CUST000239,BranchLed,Partner-Beta,,,Reported manually by Ops team
CKYC000241,CUST000241,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000242,CUST000242,WSL,Partner-Delta,Completed,Y,
CKYC000243,CUST000243,BranchLed,In-House,Completed,Y,
CKYC000244,CUST000244,BranchLed,Partner-Delta,Completed,Y,
CKYC000246,CUST000246,Fintech Partnership,Partner-Delta,,,Reported manually by Ops team
CKYC000248,CUST000248,BranchLed,Partner-Alpha,Under Review,,
CKYC000249,CUST000249,Partner Reporting,Partner-Alpha,Completed,Y,
CKYC000250,CUST000250,WSL,Partner-Epsilon,In Progress,,
CKYC000251,CUST000251,Embedded Finance,Partner-Gamma,Under Review,,
CKYC000255,CUST000255,Fintech Partnership,In-House,Completed,Y,
CKYC000257,CUST000257,BranchLed,In-House,In Progress,,
CKYC000258,CUST000258,Partner Reporting,Partner-Gamma,Completed,Y,
CKYC000259,CUST000259,Partner Reporting,In-House,Completed,Y,
CKYC000260,CUST000260,BranchLed,Partner-Epsilon,Completed,Y,
CKYC000262,CUST000262,Partner Reporting,In-House,In Progress,,
CKYC000264,CUST000264,Embedded Finance,Partner-Epsilon,In Progress,,
CKYC000265,CUST000265,WSL,Partner-Gamma,Under Review,,
CKYC000266,CUST000266,Partner Reporting,Partner-Epsilon,In Progress,,
CKYC000268,CUST000268,BranchLed,Partner-Beta,Completed,Y,
CKYC000271,CUST000271,BranchLed,Partner-Delta,Completed,Y,
CKYC000272,CUST000272,Partner Reporting,Partner-Delta,Under Review,,
CKYC000273,CUST000273,Embedded Finance,Partner-Epsilon,Under Review,,
CKYC000274,CUST000274,Partner Reporting,In-House,,,
CKYC000275,CUST000275,Embedded Finance,In-House,Issue,N,
CKYC000277,CUST000277,WSL,In-House,In Progress,,
CKYC000278,CUST000278,WSL,Partner-Gamma,Completed,Y,
CKYC000279,CUST000279,Fintech Partnership,Partner-Beta,In Progress,,
CKYC000283,CUST000283,Embedded Finance,Partner-Delta,,,Reported manually by Ops team
CKYC000287,CUST000287,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000288,CUST000288,Partner Reporting,Partner-Beta,Completed,Y,
CKYC000291,CUST000291,Partner Reporting,Partner-Beta,,,
CKYC000292,CUST000292,Embedded Finance,In-House,Under Review,,
CKYC000293,CUST000293,WSL,Partner-Delta,,,
CKYC000294,CUST000294,Fintech Partnership,Partner-Epsilon,Completed,Y,
CKYC000296,CUST000296,Partner Reporting,Partner-Beta,,,
CKYC000297,CUST000297,Partner Reporting,In-House,Completed,Y,
CKYC000303,CUST000303,Embedded Finance,In-House,Completed,Y,
CKYC000305,CUST000305,BranchLed,Partner-Beta,Completed,Y,
CKYC000307,CUST000307,Partner Reporting,In-House,Completed,Y,
CKYC000309,CUST000309,Partner Reporting,Partner-Alpha,Completed,Y,
CKYC000310,CUST000310,BranchLed,Partner-Beta,In Progress,,
CKYC000312,CUST000312,BranchLed,Partner-Epsilon,Completed,Y,
CKYC000314,CUST000314,Embedded Finance,Partner-Beta,,,
CKYC000315,CUST000315,Partner Reporting,In-House,Under Review,,
CKYC000318,CUST000318,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000319,CUST000319,BranchLed,Partner-Epsilon,Issue,N,
CKYC000320,CUST000320,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000322,CUST000322,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000324,CUST000324,Fintech Partnership,Partner-Epsilon,,,Reported manually by Ops team
CKYC000325,CUST000325,Partner Reporting,Partner-Delta,Issue,N,
CKYC000326,CUST000326,Fintech Partnership,Partner-Gamma,Completed,Y,
CKYC000327,CUST000327,BranchLed,Partner-Delta,Under Review,,
CKYC000328,CUST000328,Partner Reporting,Partner-Epsilon,In Progress,,
CKYC000329,CUST000329,WSL,Partner-Epsilon,,,
CKYC000331,CUST000331,Embedded Finance,Partner-Gamma,Completed,Y,
CKYC000332,CUST000332,Partner Reporting,Partner-Delta,Completed,Y,
CKYC000334,CUST000334,BranchLed,In-House,Completed,Y,
CKYC000336,CUST000336,Embedded Finance,Partner-Delta,Completed,Y,
CKYC000338,CUST000338,WSL,Partner-Alpha,Completed,Y,
CKYC000340,CUST000340,WSL,In-House,In Progress,,
CKYC000341,CUST000341,Fintech Partnership,Partner-Alpha,Completed,Y,
CKYC000342,CUST000342,Partner Reporting,Partner-Beta,Completed,Y,
CKYC000344,CUST000344,Fintech Partnership,Partner-Gamma,Completed,Y,
CKYC000346,CUST000346,Embedded Finance,Partner-Delta,In Progress,,
CKYC000348,CUST000348,Partner Reporting,Partner-Gamma,Completed,Y,
CKYC000350,CUST000350,Fintech Partnership,Partner-Delta,Completed,Y,
